Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
Z1.1,2014,BOTH,14.426,6.0,38011.419679,5.89,-1.59,23.783
Z1.1,2014,FEMALE,8.824,2.0,18959.056356,6.28,-1.32,17.13
Z1.1,2014,MALE,19.083,4.0,19052.363323,9.55,-1.39,32.318
Z1.1,2015,BOTH,4.896,2.0,37703.906501,3.46,-5.74,24.775
Z1.1,2015,FEMALE,8.738,2.0,18820.757669,6.25,-1.47,17.915
Z1.1,2015,MALE,0.0,0.0,18883.148832,10.59,-3.15,33.338
Z1.1,2016,BOTH,14.545,6.0,37714.511116,5.97,-2.53,29.627
Z1.1,2016,FEMALE,14.407,3.0,18867.213941,8.47,-0.8,21.156
Z1.1,2016,MALE,14.52,3.0,18847.297175,8.43,-3.08,40.467
Z1.1,2017,BOTH,19.412,8.0,37760.817655,6.88,-1.45,29.394
Z1.1,2017,FEMALE,8.746,2.0,18942.818936,6.22,-2.04,21.429
